"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"47","szechuan chicken with peanuts","Wok",64,"meal","asian","Non-vegetarian","<span style='color: orange;'>dried red chile pepper</span> or <span style='color: #458B00;'>szechuan chili oil</span>, <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #458B00;'>chinkiang vinegar</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>szechuan peppercorn</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>dry roasted peanuts</span>",1,0
"48","chinese american kung pao chicken","Wok",61,"meal","asian","Non-vegetarian","<span style='color: orange;'>red hot chili pepper</span> or <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>dark soy sauce</span>, <span style='color: #458B00;'>rice vinegar</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>zucchini</span>, <span style='color: #458B00;'>bell pepper</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>dry roasted peanuts</span>",1,0
"49","Grilled cheese sandwich","Noggin",NA,"main","western","Vegetarian","<span style='color: #458B00;'>mayonnaise</span> or <span style='color: #458B00;'>parmesan</span> or <span style='color: #458B00;'>american cheese</span> or <span style='color: #CD2626;'>cheddar</span> or <span style='color: #CD2626;'>jack cheese</span>, <span style='color: #458B00;'>sandwich bread</span>, <span style='color: #458B00;'>butter</span>",1,0
"50","pumpkin seed chutney","the flavor equation",323,"sauce","indian","Vegan","<span style='color: #458B00;'>pepitas</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: orange;'>mint</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>black peppercorns</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>serrano pepper</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>cumin</span>",5,3
"51","mint chutney","the flavor equation",322,"sauce","indian","Vegan","<span style='color: #458B00;'>cilantro</span>, <span style='color: orange;'>mint</span>, <span style='color: #CD2626;'>serrano pepper</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>rice vinegar</span>",5,3
"52","green apple chutney","the flavor equation",322,"sauce","indian","Vegan","<span style='color: #CD2626;'>granny smith apple</span>, <span style='color: #458B00;'>dried cranberries</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>aleppo pepper</span>, <span style='color: #458B00;'>brown sugar</span>, <span style='color: #458B00;'>apple cider vinegar</span>",5,1
"53","burnt shallot dip","the flavor equation",314,"appetizer","western","Vegetarian","<span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CDAD00;'>greek yogurt</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>nigella seeds</span>, <span style='color: orange;'>chives</span>",3,2
"54","braised cabbage with coconut","the flavor equation",291,"side","indian","Vegan","<span style='color: #CD2626;'>frozen grated coconut</span> or <span style='color: #CD2626;'>green cabbage</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>black mustard seed</span>, <span style='color: #458B00;'>aleppo pepper</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>cilantro</span>",5,2
"55","roasted eggplant raita","the flavor equation",288,"side","indian","Vegetarian","<span style='color: #CD2626;'>jalapeno</span> or <span style='color: #CD2626;'>eggplant</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: orange;'>mint</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #CDAD00;'>greek yogurt</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>black mustard seed</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>aleppo pepper</span>",5,5
"56","cucumber and roasted corn salad","the flavor equation",287,"salad","western","Vegan","<span style='color: #CD2626;'>corn on the cob</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>cucumber</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>pepitas</span>, <span style='color: #458B00;'>black mustard seed</span>, <span style='color: #458B00;'>sherry vinegar</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #458B00;'>aleppo pepper</span>, <span style='color: #458B00;'>black pepper</span>",5,1
"57","crab tikka masala dip","the flavor equation",284,"appetizer","indian","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #458B00;'>kashmiri chilli</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>nutmeg</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>cream cheese</span>, <span style='color: #458B00;'>creme fraiche</span>, <span style='color: #CD2626;'>lump crap meat</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>scallions</span>",5,2
"58","lamb koftas in almond gravy","the flavor equation",264,"main","indian","Non-vegetarian","<span style='color: #CD2626;'>jalapeno</span> or <span style='color: orange;'>mint</span> or <span style='color: #1C86EE;'>naan</span> or <span style='color: orange;'>ground beef</span> or <span style='color: #CD2626;'>ground lamb</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>chili powder</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>almonds</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>rice</span>",3,2
"59","spiced roast chicken","the flavor equation",263,"main","indian","Non-vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>smoked paprika</span>, <span style='color: #458B00;'>kashmiri chilli</span>, <span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>lemon</span>",5,1
"60","black pepper chicken","the flavor equation",260,"main","indian","Non-vegetarian","<span style='color: #458B00;'>cilantro</span> or <span style='color: #458B00;'>chicken thigh</span> or <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>black peppercorns</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>coconut oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>coconut milk</span>, <span style='color: #458B00;'>rice</span>",3,1
"61","masala shrimp","the flavor equation",259,"main","indian","Non-vegetarian","<span style='color: orange;'>chives</span> or <span style='color: #CD2626;'>shrimp</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>garam masala</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>cinnamon</span>",5,3
"62","garlic and ginger dal with greens","the flavor equation",256,"soup","indian","Vegetarian","<span style='color: #458B00;'>ghee</span> or <span style='color: #458B00;'>asafetida</span> or <span style='color: #458B00;'>rice</span> or <span style='color: #1C86EE;'>flatbread</span> or <span style='color: #1C86EE;'>naan</span>, <span style='color: #458B00;'>kale</span> or <span style='color: orange;'>spinach</span>, <span style='color: #CD2626;'>red lentils</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>chili powder</span>",5,1
"63","roasted delicata squash with herbed yogurt dressing","the flavor equation",253,"side","western","Vegetarian","<span style='color: #CD2626;'>jalapeno</span> or <span style='color: orange;'>delicata squash</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #CDAD00;'>greek yogurt</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>pepitas</span>, <span style='color: #458B00;'>scallions</span>",3,2
"64","spiced potato pancakes","the flavor equation",249,"side","indian","Vegetarian","<span style='color: #CD2626;'>jalapeno</span> or <span style='color: #CD2626;'>yukon gold potato</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>amchur powder</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>ghee</span>",5,2
"65","fried eggs with masala hash browns and green peppercorn chutney","the flavor equation",245,"breakfast","indian","Vegetarian","<span style='color: #458B00;'>ghee</span>, <span style='color: #CD2626;'>yukon gold potato</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garam masala</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>kala namak</span>, <span style='color: #458B00;'>amchur powder</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>tomatillo</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>apple cider vinegar</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>green peppercorns</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>egg</span>",5,3
"66","goan shrimp and olive pulao","the flavor equation",219,"appetizer","mediterranean","Non-vegetarian","<span style='color: #CDAD00;'>greek yogurt</span> or <span style='color: #458B00;'>black olives</span>, <span style='color: #458B00;'>basmati rice</span>, <span style='color: orange;'>white onion</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>cinnamon stick</span>, <span style='color: #458B00;'>cloves</span>, <span style='color: #458B00;'>cardamon</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #CD2626;'>shrimp</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>scallions</span>",5,3
"67","stir fried cabbage","the flavor equation",219,"side","asian","Vegan","<span style='color: #CD2626;'>green cabbage</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>low sodium soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>",5,1
"68","hot honeycomb candy","the flavor equation",199,"dessert","western","Vegan","<span style='color: #458B00;'>cayenne pepper</span> or <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>honey</span>",1,0
"69","masala cheddar cornbread","the flavor equation",180,"side","indian","Vegetarian","<span style='color: #458B00;'>ghee</span> or <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>cornmeal</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #458B00;'>aleppo pepper</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #CD2626;'>cheddar</span>, <span style='color: #458B00;'>corn</span>, <span style='color: #458B00;'>dark brown sugar</span>, <span style='color: #458B00;'>honey</span>, <span style='color: orange;'>whole milk</span>",5,2
